horizon,model,interval_score,sharpness,underprediction,overprediction,coverage_deviation,bias,aem,scale
-7,"Reference: Fixed, Report: Fixed",12.8,3.8,8.36,0.608,-0.103,-0.198,23.5,natural
-7,"Reference: Fixed, Report: Day of week",16,2.52,11.9,1.54,-0.22,-0.139,24.3,natural
-7,"Reference: Age, Report: Day of week",15.4,2.73,10.6,1.75,-0.205,-0.126,23.7,natural
-7,"Reference: Age and week, Report: Day of week",15.8,2.77,10.7,1.99,-0.209,-0.116,24.1,natural
-7,"Reference: Age and week by age, Report: Day of week",16.9,3.11,11.8,1.69,-0.192,-0.214,25.8,natural
-7,"Independent by age, Reference: Week, Report: Day of week",13.7,2.97,9.5,0.993,-0.142,-0.324,22.1,natural
-7,"Independent by age, Reference: Week and day of week, Report: Day of week",13.3,2.99,9.17,0.966,-0.136,-0.33,21.8,natural
-6,"Reference: Fixed, Report: Fixed",18.7,4.27,13.3,1.11,-0.172,-0.189,32.2,natural
-6,"Reference: Fixed, Report: Day of week",18.4,2.86,13.7,1.8,-0.238,-0.137,28.2,natural
-6,"Reference: Age, Report: Day of week",18.9,3.03,13.5,2.1,-0.243,-0.134,28.7,natural
-6,"Reference: Age and week, Report: Day of week",19.8,3.07,14,2.4,-0.249,-0.13,29.6,natural
-6,"Reference: Age and week by age, Report: Day of week",21.6,3.52,16.1,1.61,-0.223,-0.274,32.8,natural
-6,"Independent by age, Reference: Week, Report: Day of week",16.6,3.38,11.7,1.28,-0.166,-0.33,26.9,natural
-6,"Independent by age, Reference: Week and day of week, Report: Day of week",15.6,3.43,10.8,1.14,-0.149,-0.346,25.5,natural
-5,"Reference: Fixed, Report: Fixed",25.1,4.87,18.5,1.83,-0.21,-0.163,41.5,natural
-5,"Reference: Fixed, Report: Day of week",20.7,3.3,15.4,2.09,-0.242,-0.113,32,natural
-5,"Reference: Age, Report: Day of week",23.7,3.55,18.4,1.62,-0.25,-0.304,35.8,natural
-5,"Reference: Age and week, Report: Day of week",24.5,3.59,18.9,1.78,-0.249,-0.3,36.7,natural
-5,"Reference: Age and week by age, Report: Day of week",26.3,4.1,20.7,1.21,-0.244,-0.382,39.7,natural
-5,"Independent by age, Reference: Week, Report: Day of week",19.1,3.91,13.6,1.4,-0.172,-0.323,31.3,natural
-5,"Independent by age, Reference: Week and day of week, Report: Day of week",17,3.96,11.7,1.11,-0.142,-0.341,28.3,natural
-4,"Reference: Fixed, Report: Fixed",29.5,5.78,21.4,2.49,-0.204,-0.12,47.7,natural
-4,"Reference: Fixed, Report: Day of week",22.3,3.89,15.8,2.77,-0.231,-0.0674,35.2,natural
-4,"Reference: Age, Report: Day of week",31.1,4.32,24.8,1.78,-0.243,-0.288,45.9,natural
-4,"Reference: Age and week, Report: Day of week",31.1,4.36,24.8,1.81,-0.242,-0.284,46.1,natural
-4,"Reference: Age and week by age, Report: Day of week",34.9,4.78,28.6,1.4,-0.265,-0.398,50.7,natural
-4,"Independent by age, Reference: Week, Report: Day of week",20.2,4.66,13.6,1.7,-0.151,-0.288,33.9,natural
-4,"Independent by age, Reference: Week and day of week, Report: Day of week",17.9,4.69,11.4,1.51,-0.121,-0.304,30.5,natural
-3,"Reference: Fixed, Report: Fixed",32.1,7.22,21.6,3.34,-0.189,-0.0616,52.2,natural
-3,"Reference: Fixed, Report: Day of week",23.1,4.77,14.3,4.14,-0.22,0.015,37.9,natural
-3,"Reference: Age, Report: Day of week",32.7,5.2,24.4,3,-0.239,-0.22,49.9,natural
-3,"Reference: Age and week, Report: Day of week",32.5,5.26,24,3.07,-0.236,-0.213,49.9,natural
-3,"Reference: Age and week by age, Report: Day of week",41.6,5.91,33,2.47,-0.288,-0.366,61.5,natural
-3,"Independent by age, Reference: Week, Report: Day of week",20.5,5.8,11.5,2.92,-0.111,-0.217,35.6,natural
-3,"Independent by age, Reference: Week and day of week, Report: Day of week",18.5,5.82,9.66,2.82,-0.0878,-0.22,32.6,natural
-2,"Reference: Fixed, Report: Fixed",34.9,9.53,20.9,4.33,-0.149,0.0161,55.7,natural
-2,"Reference: Fixed, Report: Day of week",25.3,6.09,12.8,6.49,-0.208,0.0899,42.8,natural
-2,"Reference: Age, Report: Day of week",34.7,6.43,23.2,4.92,-0.226,-0.147,55,natural
-2,"Reference: Age and week, Report: Day of week",34.1,6.53,22.4,5.03,-0.214,-0.137,54.3,natural
-2,"Reference: Age and week by age, Report: Day of week",46.3,7.63,34.6,3.9,-0.285,-0.336,73,natural
-2,"Independent by age, Reference: Week, Report: Day of week",22.6,7.59,9.62,5.19,-0.0802,-0.114,40.1,natural
-2,"Independent by age, Reference: Week and day of week, Report: Day of week",21,7.5,8.19,5.16,-0.0624,-0.114,37.3,natural
-1,"Reference: Fixed, Report: Fixed",29.7,13.8,11.9,4.01,-0.0603,0.0858,53,natural
-1,"Reference: Fixed, Report: Day of week",28.2,8.39,10.2,9.61,-0.18,0.186,50,natural
-1,"Reference: Age, Report: Day of week",35.5,8.57,18.9,8.02,-0.194,-0.0429,60.3,natural
-1,"Reference: Age and week, Report: Day of week",35.6,8.73,18.3,8.46,-0.184,-0.035,60.1,natural
-1,"Reference: Age and week by age, Report: Day of week",45.7,10.6,29.6,5.27,-0.2,-0.239,77.1,natural
-1,"Independent by age, Reference: Week, Report: Day of week",26.7,10.7,7.05,8.8,-0.0484,0.0205,48.6,natural
-1,"Independent by age, Reference: Week and day of week, Report: Day of week",23.8,10.4,4.83,8.46,-0.0182,0.00518,42.8,natural
0,"Reference: Fixed, Report: Fixed",31.4,22.5,6.1,2.53,0.075,0.0145,53,natural
0,"Reference: Fixed, Report: Day of week",41.8,13.3,16.6,11.7,-0.153,0.0179,78.3,natural
0,"Reference: Age, Report: Day of week",48,13.1,22.9,11.8,-0.16,-0.123,85.9,natural
0,"Reference: Age and week, Report: Day of week",49.4,13.4,23.4,12.4,-0.161,-0.116,87.7,natural
0,"Reference: Age and week by age, Report: Day of week",62.3,16,37.4,8.57,-0.21,-0.186,107,natural
0,"Independent by age, Reference: Week, Report: Day of week",42.4,16.3,13.2,12.5,-0.0668,-0.0945,80.1,natural
0,"Independent by age, Reference: Week and day of week, Report: Day of week",32.5,15.9,7.54,8.8,0.00375,-0.101,59.4,natural
-7,"Reference: Fixed, Report: Fixed",0.0493,0.0174,0.0183,0.0134,-0.103,-0.198,0.0942,log
-7,"Reference: Fixed, Report: Day of week",0.0592,0.0148,0.0233,0.021,-0.22,-0.139,0.101,log
-7,"Reference: Age, Report: Day of week",0.0583,0.0154,0.022,0.0205,-0.205,-0.126,0.101,log
-7,"Reference: Age and week, Report: Day of week",0.0596,0.0154,0.0227,0.021,-0.209,-0.116,0.102,log
-7,"Reference: Age and week by age, Report: Day of week",0.0632,0.0163,0.0264,0.0198,-0.192,-0.214,0.109,log
-7,"Independent by age, Reference: Week, Report: Day of week",0.048,0.0157,0.0245,0.00728,-0.142,-0.324,0.0902,log
-7,"Independent by age, Reference: Week and day of week, Report: Day of week",0.048,0.016,0.025,0.00655,-0.136,-0.33,0.0896,log
-6,"Reference: Fixed, Report: Fixed",0.0658,0.0193,0.0268,0.0197,-0.172,-0.189,0.119,log
-6,"Reference: Fixed, Report: Day of week",0.067,0.0161,0.0274,0.0235,-0.238,-0.137,0.114,log
-6,"Reference: Age, Report: Day of week",0.0688,0.0164,0.0281,0.0238,-0.243,-0.134,0.117,log
-6,"Reference: Age and week, Report: Day of week",0.0713,0.0165,0.0297,0.0246,-0.249,-0.13,0.119,log
-6,"Reference: Age and week by age, Report: Day of week",0.0747,0.0179,0.0359,0.0202,-0.223,-0.274,0.128,log
-6,"Independent by age, Reference: Week, Report: Day of week",0.0556,0.0174,0.029,0.00866,-0.166,-0.33,0.1,log
-6,"Independent by age, Reference: Week and day of week, Report: Day of week",0.0543,0.0175,0.0288,0.00747,-0.149,-0.346,0.0986,log
-5,"Reference: Fixed, Report: Fixed",0.0844,0.0218,0.0372,0.0255,-0.21,-0.163,0.149,log
-5,"Reference: Fixed, Report: Day of week",0.0757,0.0177,0.0309,0.0272,-0.242,-0.113,0.129,log
-5,"Reference: Age, Report: Day of week",0.0848,0.0191,0.0476,0.0178,-0.25,-0.304,0.14,log
-5,"Reference: Age and week, Report: Day of week",0.0857,0.0191,0.0477,0.0186,-0.249,-0.3,0.141,log
-5,"Reference: Age and week by age, Report: Day of week",0.0894,0.0204,0.0531,0.0158,-0.244,-0.382,0.147,log
-5,"Independent by age, Reference: Week, Report: Day of week",0.0633,0.0199,0.0328,0.0101,-0.172,-0.323,0.114,log
-5,"Independent by age, Reference: Week and day of week, Report: Day of week",0.0599,0.0198,0.0314,0.00816,-0.142,-0.341,0.109,log
-4,"Reference: Fixed, Report: Fixed",0.1,0.0248,0.0447,0.031,-0.204,-0.12,0.173,log
-4,"Reference: Fixed, Report: Day of week",0.084,0.02,0.0316,0.0326,-0.231,-0.0674,0.143,log
-4,"Reference: Age, Report: Day of week",0.101,0.0214,0.0569,0.0228,-0.243,-0.288,0.163,log
-4,"Reference: Age and week, Report: Day of week",0.101,0.0216,0.0564,0.023,-0.242,-0.284,0.163,log
-4,"Reference: Age and week by age, Report: Day of week",0.114,0.0234,0.0718,0.0193,-0.265,-0.398,0.182,log
-4,"Independent by age, Reference: Week, Report: Day of week",0.0691,0.0226,0.0342,0.0118,-0.151,-0.288,0.126,log
-4,"Independent by age, Reference: Week and day of week, Report: Day of week",0.0649,0.0224,0.0324,0.00944,-0.121,-0.304,0.116,log
-3,"Reference: Fixed, Report: Fixed",0.115,0.029,0.0487,0.0377,-0.189,-0.0616,0.198,log
-3,"Reference: Fixed, Report: Day of week",0.0952,0.0227,0.0292,0.0434,-0.22,0.015,0.163,log
-3,"Reference: Age, Report: Day of week",0.114,0.0242,0.059,0.0309,-0.239,-0.22,0.186,log
-3,"Reference: Age and week, Report: Day of week",0.115,0.0243,0.0585,0.0313,-0.236,-0.213,0.187,log
-3,"Reference: Age and week by age, Report: Day of week",0.137,0.0277,0.0823,0.0271,-0.288,-0.366,0.221,log
-3,"Independent by age, Reference: Week, Report: Day of week",0.0734,0.0263,0.0314,0.015,-0.111,-0.217,0.136,log
-3,"Independent by age, Reference: Week and day of week, Report: Day of week",0.0716,0.0262,0.0304,0.0143,-0.0878,-0.22,0.129,log
-2,"Reference: Fixed, Report: Fixed",0.132,0.0357,0.0533,0.0429,-0.149,0.0161,0.227,log
-2,"Reference: Fixed, Report: Day of week",0.114,0.0269,0.0268,0.0606,-0.208,0.0899,0.192,log
-2,"Reference: Age, Report: Day of week",0.133,0.0284,0.0592,0.0448,-0.226,-0.147,0.216,log
-2,"Reference: Age and week, Report: Day of week",0.134,0.0287,0.0597,0.0448,-0.214,-0.137,0.217,log
-2,"Reference: Age and week by age, Report: Day of week",0.159,0.0331,0.0894,0.0379,-0.285,-0.336,0.265,log
-2,"Independent by age, Reference: Week, Report: Day of week",0.0852,0.0317,0.0283,0.0245,-0.0802,-0.114,0.159,log
-2,"Independent by age, Reference: Week and day of week, Report: Day of week",0.0815,0.0318,0.028,0.0211,-0.0624,-0.114,0.152,log
-1,"Reference: Fixed, Report: Fixed",0.125,0.0473,0.0374,0.0395,-0.0603,0.0858,0.232,log
-1,"Reference: Fixed, Report: Day of week",0.137,0.0336,0.0221,0.0813,-0.18,0.186,0.234,log
-1,"Reference: Age, Report: Day of week",0.151,0.0351,0.0529,0.0624,-0.194,-0.0429,0.252,log
-1,"Reference: Age and week, Report: Day of week",0.153,0.0356,0.0546,0.0622,-0.184,-0.035,0.254,log
-1,"Reference: Age and week by age, Report: Day of week",0.168,0.0439,0.0758,0.0482,-0.2,-0.239,0.286,log
-1,"Independent by age, Reference: Week, Report: Day of week",0.103,0.0405,0.0243,0.0378,-0.0484,0.0205,0.19,log
-1,"Independent by age, Reference: Week and day of week, Report: Day of week",0.0941,0.0404,0.0226,0.0306,-0.0182,0.00518,0.173,log
0,"Reference: Fixed, Report: Fixed",0.122,0.0708,0.0174,0.0335,0.075,0.0145,0.224,log
0,"Reference: Fixed, Report: Day of week",0.176,0.05,0.0331,0.0923,-0.153,0.0179,0.311,log
0,"Reference: Age, Report: Day of week",0.18,0.0512,0.0536,0.0746,-0.16,-0.123,0.319,log
0,"Reference: Age and week, Report: Day of week",0.185,0.0518,0.0569,0.0752,-0.161,-0.116,0.326,log
0,"Reference: Age and week by age, Report: Day of week",0.232,0.0646,0.0979,0.0692,-0.21,-0.186,0.394,log
0,"Independent by age, Reference: Week, Report: Day of week",0.147,0.0588,0.0348,0.0526,-0.0668,-0.0945,0.279,log
0,"Independent by age, Reference: Week and day of week, Report: Day of week",0.124,0.0586,0.0286,0.036,0.00375,-0.101,0.232,log
